图书名字,作者,引述,出版社,发行日期,价格,评分,评价人数,图书详细链接
《狼图腾》,姜戎,我们都是 狼的传人？,长江文艺出版社,2004-4,32.00元,8.3,75548人评价,https://book.douban.com/subject/1022060/
《微微一笑很倾城》,顾漫,一场盛大的意淫,江苏文艺出版社,2009-8,25.00,8.1,76618人评价,https://book.douban.com/subject/3879301/
《独唱团（第一辑）》,韩寒 主编,独唱的人多了，也便成了团,书海出版社,2010-7-6,16.00元,7.8,79592人评价,https://book.douban.com/subject/4886245/
《莲花》,安妮宝贝,三个生命的交逢，灵魅清冷,作家出版社,2006-3,25.00元,8.0,77356人评价,https://book.douban.com/subject/1529893/
《哈利·波特与火焰杯》,[英] J. K. 罗琳,整个系列的分水岭，暗色渐浓,人民文学出版社,2001-5,39.80元,8.9,70039人评价,https://book.douban.com/subject/1009257/
《边城》,沈从文,如水一般的忧愁与怅惘,北岳文艺出版社,2002-4,12.00元,8.6,67751人评价,https://book.douban.com/subject/1057244/
《月亮和六便士》,[英] 毛姆,有多少人会经历顿悟，就有更少的人甘愿自我放逐,上海译文出版社,2006-8,15.00元,8.9,67672人评价,https://book.douban.com/subject/1858513/
《向左走·向右走》,幾米,两条平行线相遇的可能,生活·读书·新知三联书店,2002-8,16.00元,8.4,70053人评价,https://book.douban.com/subject/1066462/
《活着》,余华,生的苦难与伟大,作家出版社,2012-8,20.00元,9.3,64126人评价,https://book.douban.com/subject/4913064/
《穆斯林的葬礼》,霍达,时代烙印鲜明的民族史诗,北京十月文艺出版社,1988-12-1,32.00,8.3,68441人评价,https://book.douban.com/subject/1082334/
《从你的全世界路过》,张嘉佳,戳中了现代人的某些柔软之处,湖南文艺出版社,2013-11-1,36.00元,7.1,75690人评价,https://book.douban.com/subject/25747921/
《悲伤逆流成河》,郭敬明,少年不识愁滋味,长江文艺出版社,2007-5,24.00元,6.3,83296人评价,https://book.douban.com/subject/2062200/
《恶意》,[日] 东野圭吾,无缘由的恨，冰冷彻骨,南海出版公司,2009-6,18.00,8.4,65949人评价,https://book.douban.com/subject/3646172/
《天龙八部》,金庸,“有情皆孽，无人不冤”,三联书店,1994-5,96.0,9.1,55309人评价,https://book.douban.com/subject/1255625/
《放学后》,[日]东野圭吾,东野圭吾处女作,南海出版公司,2010-1,20.00元,7.6,71713人评价,https://book.douban.com/subject/4074636/
《Harry Potter and the Deathly Hallows》,J.K.Rowling,final episode,Arthur A. Levine Books,2007-7-21,34.99美元,8.9,6904人评价,https://book.douban.com/subject/1975797/
《长安乱》,韩寒,韩少也会借古喻今了,中国青年出版社,2004-8,20.00元,7.4,72890人评价,https://book.douban.com/subject/1049219/
《哈利·波特与混血王子》,[英] J. K. 罗琳,感情线纷乱的一部。再见邓布利多,人民文学出版社,2005-10,58.00元,8.8,61348人评价,https://book.douban.com/subject/1432596/
《一个人的好天气》,[日] 青山七惠,冬日暖阳的温煦感,上海译文出版社,2007-9,15.00元,7.6,69630人评价,https://book.douban.com/subject/2250587/
《苏菲的世界》,（挪威）乔斯坦·贾德,最平易近人的哲学入门,作家出版社,1999-04,26.80元,8.5,61316人评价,https://book.douban.com/subject/1045818/
《许三观卖血记》,余华,余华的悲凉，都在那一碗炒猪肝里了,南海出版公司,1998-9,16.80元,8.7,60109人评价,https://book.douban.com/subject/1029791/
《1995-2005夏至未至》,郭敬明,当青春遁入歧途,春风文艺出版社,2005-2,24.00元,7.4,67784人评价,https://book.douban.com/subject/1049189/
《撒哈拉的故事》,三毛,关于漂泊的一切,皇冠出版社,1976,160 TWD,9.0,57282人评价,https://book.douban.com/subject/1361264/
《盗墓笔记》,南派三叔,想象奇诡的大型RPG游戏,中国友谊出版公司,2007-1,26.80元,8.4,60375人评价,https://book.douban.com/subject/1948901/
《霍乱时期的爱情》,[哥伦比亚] 加西亚·马尔克斯,义无反顾地直达爱情的核心,南海出版公司,2012-9-1,39.50元,8.9,57601人评价,https://book.douban.com/subject/10594787/
《哈利·波特与凤凰社》,[英] J. K. 罗琳,暴脾气的哈利,人民文学出版社,2003-9,59.00元,8.7,57916人评价,https://book.douban.com/subject/1013129/
《喜宝》,亦舒,爱情才是终极的奢侈品,新世界出版社,2007-2,22.00元,8.1,42762人评价,https://book.douban.com/subject/2022979/
《岛上书店》,[美] 加·泽文,爱书的人从不孤独,江苏凤凰文艺出版社,2015-5,CNY 35.00,7.6,64657人评价,https://book.douban.com/subject/26340138/
《三生三世 十里桃花》,唐七公子,大风刮过有话要说,沈阳出版社,2009-1,26.80,8.1,63560人评价,https://book.douban.com/subject/3426869/
《海边的卡夫卡》,[日] 村上春树,背负诅咒的少年，平行世界中的奥德赛,上海译文出版社,2003-4,25.00元,8.1,60613人评价,https://book.douban.com/subject/1059419/
《文化苦旅》,余秋雨,“历史文化散文”,东方出版中心,2001-4,22.00元,7.8,62545人评价,https://book.douban.com/subject/1050339/
《基督山伯爵》,大仲马,完美的复仇，金庸用法语写作应该就是这样,上海译文出版社,1991-12-1,43.90元,8.9,50259人评价,https://book.douban.com/subject/1085860/
《窗边的小豆豆》,[日] 黑柳彻子 著,真正懂孩子的教育经,南海出版公司,2003-1,20.00元,8.7,56815人评价,https://book.douban.com/subject/1007914/
《三国演义（全二册）》,[明] 罗贯中,是非成败转头空,人民文学出版社,1998-05,39.50元,9.2,54081人评价,https://book.douban.com/subject/1019568/
《黄金时代》,王小波,能把性爱写得如此坦荡的，大概只有王二了,花城出版社,1999-3,19.00元,8.7,56011人评价,https://book.douban.com/subject/1089243/
《悟空传》,今何在,猴子还是那个猴子，世界早已不是原来的世界,光明日报出版社,2001-4,14.80元,8.4,58150人评价,https://book.douban.com/subject/1003000/
《兄弟（上）》,余华,历史苦难中的个人灾变,上海文艺出版社,2005-8,16.00元,8.3,57507人评价,https://book.douban.com/subject/1401425/
《呼啸山庄》,艾米莉·勃朗特,近乎暴虐的爱与恨，中文译名后无来者,人民文学出版社,1999-1,27.30元,8.4,56382人评价,https://book.douban.com/subject/1119522/
《笑傲江湖（全四册）》,金庸,武侠的壳，政治斗争的核,生活·读书·新知三联书店,1994-5,76.80元,8.9,49243人评价,https://book.douban.com/subject/1002299/
《少有人走的路》,[美] M·斯科特·派克,成熟的心智通向更完善的自我,吉林文史出版社,2007-1,26.00元,8.3,54326人评价,https://book.douban.com/subject/1775691/
《民主的细节》,刘瑜,公民养成手册,上海三联书店,2009-6,25.00,8.6,53091人评价,https://book.douban.com/subject/3813669/
《亲爱的安德烈》,龙应台,龙应台母子对话，两代人的思想碰撞,人民文学出版社,2008-12,26.00,8.7,52701人评价,https://book.douban.com/subject/3369793/
《灿烂千阳》,[美] 卡勒德·胡赛尼,唯有希望与爱可以驱散阴霾,上海人民出版社,2007-9,28.00元,8.7,51507人评价,https://book.douban.com/subject/2143732/
《老人与海》,海明威,正是悲壮赋予生活以意义,上海译文出版社,1999-10,8.20元,8.3,52950人评价,https://book.douban.com/subject/1064275/
《遇见未知的自己》,张德芬,都市灵修速成,华夏出版社,2008-1,29.00,8.1,53625人评价,https://book.douban.com/subject/2340100/
《一九八四·动物农场》,[英] 乔治·奥威尔,一个预言和一个寓言，令人窒息的政治恐怖,上海译文出版社,2003-4,23.00元,9.2,24453人评价,https://book.douban.com/subject/1082387/
《牧羊少年奇幻之旅》,[巴西]保罗·柯艾略,你自己就是最大的宝藏,南海出版公司,2009-3-1,25.00元,8.6,50920人评价,https://book.douban.com/subject/3608208/
《福尔摩斯探案全集（上中下）》,[英] 阿·柯南道尔,侦探小说鼻祖,丁钟华 等,群众出版社,1981-8,9.2,47966人评价,https://book.douban.com/subject/1040211/
《小时代1.0折纸时代》,郭敬明,温习了很多奢侈品品牌名称,长江文艺出版社,2008-10,29.80元,6.6,59679人评价,https://book.douban.com/subject/3191328/
《洛丽塔》,[美] 弗拉基米尔·纳博科夫,我的生命之光，我的欲望之火,上海译文出版社,2005-12,27.00元,7.7,53160人评价,https://book.douban.com/subject/1465324/
《百年孤独》,[哥伦比亚] 加西亚·马尔克斯,拉丁美洲圣经,上海译文出版社,1989-10,12.70元,8.9,47248人评价,https://book.douban.com/subject/1786670/
《1Q84 BOOK 2》,[日] 村上春树,情节铺展渐次清明，高潮序曲,南海出版公司,2010-6,36.00元,8.4,49282人评价,https://book.douban.com/subject/4885241/
《素年锦时》,安妮宝贝,呢喃自语，清简自持,作家出版社,2007-9,27.00元,7.8,51460人评价,https://book.douban.com/subject/2256438/
《情书》,[日] 岩井俊二,一场误会中的两段爱情，东方式的含蓄隐忍,天津人民出版社,2004-7,18.00元,8.6,46777人评价,https://book.douban.com/subject/1080370/
《第一次的亲密接触》,蔡智恒,那时候，去麦当劳约会还很高端……,知识出版社,1999-11-1,12.80,7.4,52260人评价,https://book.douban.com/subject/1024217/
《神雕侠侣》,金庸,至情至性，情大于武,生活·读书·新知三联书店,1994-5,76.8,8.8,44901人评价,https://book.douban.com/subject/1255624/
《一座城池》,韩寒,可能是韩寒最好笑的小说,二十一世纪出版社,2006-1,19.90元,7.4,51418人评价,https://book.douban.com/subject/1453210/
《茶花女》,小仲马,妓女应当拥有爱情吗？,外国文学出版社,1997-3,9.00元,8.1,47534人评价,https://book.douban.com/subject/1013380/
《麦田里的守望者》,[美国] J. D. 塞林格,塞林格的麦田里，到处是坠落的青春,译林出版社,1997-2,7.80元,7.9,48827人评价,https://book.douban.com/subject/1082518/
